TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Drip Score,Core,Drip Grade,Number,Face Decoration,Hat,Glasses,Necklace,Earring
16,Milady 16,bjork,pink,sleepy,green,knit sweater,bowl black,,19,prep,normal,16,,,,,
17,Milady 17,nagano,clay,smug,grey,super lover shirt,og black,,19,gyaru,normal,17,nose ring gold,,,,
18,Milady 18,tennis,clay,dilated,green,sheep pullover,og black,,26,prep,c-drip,18,,plaid bonnet,,,
19,Milady 19,mountain,clay,dilated,brown,bear sweater,bowl green,,18,prep-gyaru,normal,19,,trucker construction,round glasses,,
20,Milady 20,sunrise,tan,sleepy,blue,kogal cardigan,braid green,,25,prep,normal,20,,,,,
21,Milady 21,sunset,pale,closed,blue,meedles tracksuit,short pink,,33,prep-hypebeast,b-drip,21,,beret,round glasses,,
22,Milady 22,sunset,clay,sleepy,brown,peter pan collar shirt,tuft purple,,19,lolita,normal,22,,,,,
23,Milady 23,clouds,clay,crying,blue,sailor lolita,bowl slate,,26,lolita,c-drip,23,temple cross tattoo,,round glasses,,
24,Milady 24,bushland,pale,sleepy,green,western jacket,bowl brown,,20,hypebeast,normal,24,,,round glasses,,
25,Milady 25,roadside,clay,sparkle,green,mouse tank,braid black,,24,gyaru,normal,25,snakebites,,,milady beads,
26,Milady 26,streets,pink,sparkle,blue,football shirt,short orange,,31,hypebeast,b-drip,26,,,,,
27,Milady 27,sunset,clay,classic,blue,western jacket,og black,,19,hypebeast,normal,27,,,,,double safety pins
28,Milady 28,sunset,black,sparkle,green,im cute im punk shirt,short pink,,45,harajuku-gyaru,ss-drip,28,,heihei hat,,,cherry earring
29,Milady 29,clouds,pale,dilated,green,leopard polo,bowl black,,27,gyaru,c-drip,29,star heart tattoo,,,mestwood pearl necklace,
30,Milady 30,mountain,clay,sparkle,brown,cactus shirt,braids harajuku dye,,34,hypebeast-gyaru,b-drip,30,,meedles headband,,,
31,Milady 31,sunrise,pale,classic,brown,goth poncho,og frosted blonde,,35,lolita-prep,a-drip,31,,tennis visor,,,loop chain earring
32,Milady 32,sunset,pale,sparkle,brown,maid,bowl purple,,31,lolita-harajuku,b-drip,32,,bandana,,,dual rings silver
33,Milady 33,streets,pale,classic,blue,black blazer,og frosted purple,,29,lolita-prep,c-drip,33,,pink bonnet,mottega sunglasses blue,,
34,Milady 34,harajuku,pink,classic,blue,green blazer,og blonde,castle neck tattoo,35,prep,a-drip,34,,tennis visor,,,loop chain earring
35,Milady 35,mountain,black,teary,green,active dissident shirt,og green,,32,lolita-gyaru,b-drip,35,,maid hat,,,
36,Milady 36,sunset,pale,dilated,green,matagonia pullover,tuft blue,,47,hypebeast-gyaru,ss-drip,36,,trucker im so,larry glasses,fliphone lanyard,cherry earring
37,Milady 37,roadside,black,teary,green,kogal cardigan,short blue,,26,prep,c-drip,37,,,,,
38,Milady 38,mountain,clay,dilated,green,goth harajuku,tuft blue,,31,harajuku-gyaru,b-drip,38,,flower clip,,,strawberry earring
39,Milady 39,sunrise,clay,sparkle,gold,remilia tank,bowl black,,36,gyaru,a-drip,39,,trucker pink camo,,,burger earring
40,Milady 40,sunrise,clay,smug,aqua,sailor lolita,bowl black,,27,lolita-gyaru,c-drip,40,nose ring gold,trucker anime,,,loop chain earring
41,Milady 41,casino,pale,classic,brown,skull sweater,bowl black,,23,prep-hypebeast,normal,41,,bean hat,,,
42,Milady 42,sunset,pale,teary,green,heihei shirt,short pink,,36,prep-harajuku,a-drip,42,,tennis visor,,,
43,Milady 43,mountain,clay,sleepy,brown,maid,og black,,29,lolita-gyaru,c-drip,43,,trucker anime,,,heart pearls earring
44,Milady 44,sunset,clay,dilated,aqua,im cute im punk shirt,braid purple,,29,gyaru,c-drip,44,star heart tattoo,,,,cherry earring
45,Milady 45,xp,clay,sleepy,brown,bowling shirt oriental,og black,,26,hypebeast,c-drip,45,,,,cherry necklace,
46,Milady 46,clouds,clay,sparkle,green,matagonia pullover,bowl brown,,21,hypebeast,normal,46,,,,,
47,Milady 47,xp,pink,heart eyes,brown,peter pan collar shirt,bowl green,,30,lolita,b-drip,47,,,,,heart pearls earring
48,Milady 48,bushland,tan,crying,green,active dissident shirt,og blonde,,38,gyaru,a-drip,48,,rhinestone skull cap,,,
49,Milady 49,sunset,clay,crying,blue,cardigan tee,tuft blue,,52,lolita-harajuku,ss-drip,49,temple cross tattoo,bear hat,harajuku glasses,evil eye necklace,bar piercings
50,Milady 50,clouds,pink,closed,brown,sweater and tie,bowl blue,,45,prep,ss-drip,50,,plaid bonnet,moakleys,,
51,Milady 51,streets,tan,sparkle,lilac,sweater and tie,og black,,30,prep-hypebeast,b-drip,51,,treeprint bucket,,,
52,Milady 52,tennis,pink,sleepy,brown,maf rothko,short orange,,53,prep-hypebeast,ss-drip,52,,bean hat,mottega sunglasses blue,,burger earring
53,Milady 53,casino,clay,sleepy,green,blue ribbon tank,tuft blue,,25,harajuku-gyaru,normal,53,,bear ears,,girl necklace,dual rings silver
54,Milady 54,sunset,pink,dilated,blue,malenciaga neon,tuft purple,anime chest tattoo,57,hypebeast-gyaru,ss-drip,54,nose ring gold,denim fish cap,,,bar piercings
55,Milady 55,train,alien,sleepy,brown,sheep pullover,tuft dark,,38,lolita-prep,a-drip,55,,fuzz earmuffs,,,
56,Milady 56,bushland,pale,classic,lilac,mwo shirt,braid green,castle neck tattoo,34,prep-gyaru,b-drip,56,,ivy cap,,,dual rings gold
57,Milady 57,tennis,clay,dilated,blue,blue pink shirt,tuft brown,,14,lolita,normal,57,,,,,
58,Milady 58,sunrise,pink,dilated,blue,bowling shirt,tuft green,lean neck tattoo,40,hypebeast-gyaru,s-drip,58,nose ring silver,backwards trucker pink,,fliphone lanyard,
59,Milady 59,bushland,pink,crying,green,bear sweater,bowl purple,,38,prep-hypebeast,a-drip,59,,buckethat,larry glasses,,
60,Milady 60,sunset,pale,teary,green,green blazer,bowl black,,13,prep,normal,60,,,,,
61,Milady 61,casino,pale,teary,green,fuzzy coat,bowl green,,27,prep-gyaru,c-drip,61,,rhinestone skull cap,,,
62,Milady 62,mountain,clay,dilated,blue,mape hoodie,bowl black,,16,hypebeast,normal,62,,,,,
63,Milady 63,sunset,pale,dilated,green,im cute im punk shirt,tuft blue,,30,prep-gyaru,b-drip,63,,spotted fur hat,,,cross earring
64,Milady 64,sunrise,clay,dilated,blue,active dissident shirt,short orange,,28,lolita-gyaru,c-drip,64,,bear hat,,,
65,Milady 65,clouds,pale,teary,brown,blue sweatervest,og black,,24,prep-gyaru,normal,65,,trucker anime,prescription glasses,mestwood pearl necklace,
66,Milady 66,sonora,pale,dilated,brown,football shirt,,anime chest tattoo,46,hypebeast-harajuku,ss-drip,66,snakebites,strawberry hat,,,cherry earring
67,Milady 67,nagano,pale,dilated,blue,sailor lolita,og black,,26,lolita-prep,c-drip,67,nose ring silver,plaid bonnet,round glasses,,
68,Milady 68,mountain,clay,classic,blue,ribbon lolita,braid brown,,24,lolita,normal,68,,,mottega sunglasses yellow,,chain earrings
69,Milady 69,clouds,pink,classic,blue,pink knit polo,og frosted purple,,47,prep-gyaru,ss-drip,69,,rhinestone skull cap,,,celine dog
70,Milady 70,bushland,tan,closed,brown,ribbon lolita,braid black,,23,lolita,normal,70,,,,,
71,Milady 71,train,pink,teary,green,jesus tank,braid green,anime chest tattoo,34,gyaru,b-drip,71,,,,,double safety pins
72,Milady 72,mountain,pink,teary,blue,maf creeper,bowl slate,,32,hypebeast-gyaru,b-drip,72,crescent tattoo,trucker pink camo,,,
73,Milady 73,tennis,pale,sleepy,brown,maf rothko,short blue,,37,lolita-hypebeast,a-drip,73,nose ring gold,maid hat,,,bar piercings
74,Milady 74,mountain,pink,sleepy,brown,ribbon lolita,tuft purple,,30,lolita,b-drip,74,,blue pink bow,,,
75,Milady 75,sunrise,pale,sparkle,brown,maf rothko,short blonde,,31,lolita-hypebeast,b-drip,75,star heart tattoo,bear hat,,,
76,Milady 76,sonora,pale,sleepy,green,silk shirt,tuft brown,,43,hypebeast-harajuku,s-drip,76,nose ring gold,cake hat,,,safety pin piercing
77,Milady 77,casino,pink,dilated,brown,fuzzy coat,short blue,,35,prep-hypebeast,a-drip,77,,buckethat,,,diamond stud
78,Milady 78,bushland,tan,crying,brown,leopard vest,bowl purple,,52,hypebeast-harajuku,ss-drip,78,snakebites,trucker gothic milady,sunglasses,,strawberry earring
79,Milady 79,mountain,clay,dilated,aqua,goth harajuku,bowl blue,spider neck tattoo,35,prep-harajuku,a-drip,79,temple cross tattoo,bean hat,round glasses,,
80,Milady 80,casino,pink,teary,lilac,peter pan collar shirt,tuft green,,35,lolita-prep,a-drip,80,,orange beret,harajuku glasses,,
81,Milady 81,clouds,tan,dilated,blue,leopard vest,tuft brown,,23,harajuku,normal,81,,,,,
82,Milady 82,roadside,clay,sparkle,aqua,ribbon lolita,og frosted purple,castle neck tattoo,32,lolita-gyaru,b-drip,82,face piercings,trucker white rabbit,round glasses,,
83,Milady 83,bushland,pink,teary,lilac,pink knit polo,short blonde,,32,prep-hypebeast,b-drip,83,,miteryx beanie,,,
84,Milady 84,mountain,pale,sparkle,blue,peter pan collar shirt,short blonde,,19,lolita,normal,84,face piercings,,,,
85,Milady 85,mountain,pink,dilated,blue,jesus tank,og orange,,28,harajuku-gyaru,c-drip,85,temple cross tattoo,heihei hat,,,
86,Milady 86,sunrise,black,crying,green,im cute im punk shirt,bowl slate,,29,harajuku-gyaru,c-drip,86,,bandana,,,
87,Milady 87,roadside,pink,sleepy,aqua,sheep pullover,short pink,,46,prep,ss-drip,87,star heart tattoo,bean hat,,,double safety pins
88,Milady 88,sunset,pink,sparkle,grey,knit sweater,bowl black,,18,prep,normal,88,,,,,loop chain earring
89,Milady 89,bushland,clay,classic,blue,silk shirt,bowl brown,,26,hypebeast,c-drip,89,star heart tattoo,,,,
90,Milady 90,nagano,pink,crying,aqua,ulzzang coat,short pink,,35,lolita-prep,a-drip,90,,blue pink bow,,,
91,Milady 91,sonora,clay,sparkle,green,football shirt,short blue,,36,prep-hypebeast,a-drip,91,,ivy cap,,,cherry earring
92,Milady 92,nagano,clay,heart eyes,brown,heihei shirt,braid green,castle neck tattoo,45,harajuku-gyaru,ss-drip,92,,trucker im so,,silver coin necklace,cherry earring
93,Milady 93,clouds,pink,sleepy,aqua,mwo shirt,tuft purple,,38,gyaru,a-drip,93,,workin cap,,,
94,Milady 94,sunset,tan,sparkle,blue,skull sweater,short green,,28,hypebeast,c-drip,94,,,,,cross earring
95,Milady 95,harajuku,pink,classic,brown,bear sweater,tuft green,,33,prep-harajuku,b-drip,95,,fez,,,strawberry earring
96,Milady 96,bushland,pale,sparkle,green,special people shirt,braid purple,,21,gyaru,normal,96,,,,,
97,Milady 97,bushland,clay,classic,leaf,blue sweatervest,bowl slate,,34,prep-gyaru,b-drip,97,,white cowboy hat,larry glasses,milady beads,
98,Milady 98,mountain,clay,classic,brown,sheep pullover,bowl brown,,30,prep,b-drip,98,,orange beret,,,
99,Milady 99,sunset,clay,dilated,green,bowling shirt,braid purple,,39,hypebeast,a-drip,99,milady pilled tattoo,,,coral cross necklace,
100,Milady 100,clouds,clay,sparkle,green,chore coat,braid brown,,23,hypebeast-gyaru,normal,100,,trucker construction,,,
101,Milady 101,nagano,clay,dilated,brown,peter pan collar shirt,braid purple,,31,lolita-gyaru,b-drip,101,nose ring silver,trucker hat 911,,,
102,Milady 102,sonora,pale,crying,leaf,meedles tracksuit,braid black,,25,prep-hypebeast,normal,102,,plaid bonnet,,,
103,Milady 103,roadside,pale,sparkle,green,red puffer,bowl blue,,25,hypebeast-gyaru,normal,103,,trucker anime,,,strawberry earring
104,Milady 104,sunrise,pale,dilated,blue,blue sweatervest,tuft dark,,20,prep-gyaru,normal,104,,shy saints cap,,cherry necklace,loop chain earring
105,Milady 105,roadside,pale,dilated,aqua,red puffer,braid black,,22,lolita-hypebeast,normal,105,,blue pink bow,,,cross earring
106,Milady 106,clouds,pink,sleepy,brown,cactus shirt,bowl purple,,53,gyaru,ss-drip,106,,cross cap pink,prescription glasses,,heart pearls earring
107,Milady 107,clouds,clay,crying,brown,active dissident shirt,og frosted purple,lean neck tattoo,45,gyaru,ss-drip,107,,workin cap,,,dual rings silver
108,Milady 108,sunrise,clay,teary,blue,mwo shirt,bowl harajuku dye,,39,lolita-gyaru,a-drip,108,face piercings,sailor hat,,,
109,Milady 109,sonora,clay,sparkle,brown,gold spray puffer,og black,,24,hypebeast-gyaru,normal,109,,cross cap white,,,
110,Milady 110,sunrise,pink,classic,green,goth poncho,bowl brown,,34,lolita,b-drip,110,,bear hat,,,
111,Milady 111,yashima,pink,sleepy,aqua,maf creeper,og orange,,30,hypebeast,b-drip,111,nose ring gold,,mottega sunglasses blue,,
112,Milady 112,sunset,pink,dilated,gold,skull sweater,short orange,,37,hypebeast-gyaru,a-drip,112,,cross cap pink,,,double safety pins
113,Milady 113,sunset,pink,spiral,green,ribbon lolita,og black,,43,lolita-harajuku,s-drip,113,black hearts tattoo,cake hat,mottega sunglasses blue,,
114,Milady 114,mountain,tan,heart eyes,aqua,cactus shirt,bowl black,,36,prep-gyaru,a-drip,114,teardrops tattoo,orange beret,,,
115,Milady 115,sunset,pink,teary,brown,im cute im punk shirt,og frosted blonde,,39,gyaru,a-drip,115,,trucker anime,mottega sunglasses blue,,chain earrings
116,Milady 116,sunset,pink,crying,blue,ulzzang coat,tuft blue,castle neck tattoo,29,prep,c-drip,116,star heart tattoo,,,,
117,Milady 117,sunrise,clay,sleepy,aqua,cardigan tee,short blue,,33,prep-harajuku,b-drip,117,,varsity cap,,lean neck tattoo,cherry earring
118,Milady 118,roadside,clay,sparkle,green,bowling shirt,short green,,37,hypebeast-harajuku,a-drip,118,star heart tattoo,fez,,pearl necklace,
119,Milady 119,sunrise,pale,sleepy,blue,bosozuku jacket,,,45,harajuku,ss-drip,119,star heart tattoo,strawberry hat,,coral cross necklace,
120,Milady 120,sunrise,clay,dilated,green,bear sweater,braid black,lean neck tattoo,24,prep,normal,120,,,,,chain earrings
121,Milady 121,yashima,black,sparkle,blue,bowling shirt oriental,bowl harajuku dye,anime chest tattoo,49,hypebeast,ss-drip,121,,,,,
122,Milady 122,nagano,clay,classic,green,leopard polo,bowl black,anime chest tattoo,30,gyaru,b-drip,122,,,,pearl necklace,
123,Milady 123,mountain,pink,sleepy,blue,hikki condition shirt,bowl slate,,29,harajuku-gyaru,c-drip,123,,heihei hat,,,
124,Milady 124,xp,clay,teary,green,maf rothko,braid brown,,39,hypebeast,a-drip,124,,,mottega sunglasses yellow,,flower earring
125,Milady 125,sunrise,pink,classic,brown,western jacket,og orange,,25,hypebeast-harajuku,normal,125,,cat earmuffs,,,
126,Milady 126,bjork,black,classic,blue,super lover shirt,short blue,,35,gyaru,a-drip,126,,trucker im so,,,
127,Milady 127,mountain,pale,dilated,blue,peter pan collar shirt,tuft blue,,21,lolita-gyaru,normal,127,,shy saints cap,,,safety pin piercing
128,Milady 128,bjork,tan,sleepy,brown,remilia tank,braid brown,,42,gyaru,s-drip,128,,,sunglasses,coral cross necklace,dual rings gold
129,Milady 129,streets,clay,spiral,blue,fleece paisley jacket,bowl black,,46,hypebeast-harajuku,ss-drip,129,,cake hat,,mestwood pearl necklace,
130,Milady 130,roadside,tan,sparkle,green,goth harajuku,og frosted blonde,,41,prep-harajuku,s-drip,130,,bean hat,,,strawberry earring
131,Milady 131,clouds,pale,spiral,brown,gold spray puffer,tuft dark,,25,hypebeast,normal,131,,,,,
132,Milady 132,sunrise,pink,crying,green,bowling shirt,braid black,,43,hypebeast-gyaru,s-drip,132,,workin cap,mottega sunglasses yellow,,dual rings gold
133,Milady 133,sonora,pale,classic,gold,pink knit polo,short orange,,33,prep,b-drip,133,snakebites,,sunglasses,,
134,Milady 134,sunrise,clay,teary,gold,knit sweater,bowl blue,,28,prep-harajuku,c-drip,134,snakebites,bandana,,pearl necklace,
135,Milady 135,clouds,tan,teary,gold,fur coat,tuft dark,,32,lolita,b-drip,135,gucci cone tattoo,,,,
136,Milady 136,roadside,pink,sparkle,brown,meedles tracksuit,bowl purple,,32,lolita-hypebeast,b-drip,136,,bear hat,,,
137,Milady 137,sonora,pink,dilated,brown,blue sweatervest,og green,,30,prep-gyaru,b-drip,137,nose ring silver,cross cap pink,,,
138,Milady 138,mountain,pink,closed,blue,bowling shirt,braid green,,44,hypebeast,s-drip,138,temple cross tattoo,,,evil eye necklace,safety pin piercing
139,Milady 139,yashima,alien,sleepy,green,bowling shirt,tuft green,,56,hypebeast,ss-drip,139,teardrops tattoo,miteryx beanie,,pearl necklace,
140,Milady 140,bushland,tan,teary,green,western jacket,og blue,,29,hypebeast-gyaru,c-drip,140,,trucker anime,,,
141,Milady 141,sunrise,pale,sparkle,brown,blue ribbon tank,og black,,18,gyaru,normal,141,,,,,chrome cross
142,Milady 142,yashima,clay,sparkle,blue,hikki condition shirt,bowl brown,,29,gyaru,c-drip,142,,trucker pink camo,,,
143,Milady 143,casino,clay,sparkle,blue,ribbon lolita,braid purple,,28,lolita,c-drip,143,milady pilled tattoo,,,,
144,Milady 144,nagano,black,dilated,blue,cardigan tee,tuft purple,,45,prep-harajuku,ss-drip,144,,ivy cap,,evil eye necklace,
145,Milady 145,sunset,pink,dilated,brown,bear sweater,tuft dark,,27,prep-gyaru,c-drip,145,,flower clip,,,strawberry earring
146,Milady 146,mountain,clay,sparkle,green,matagonia pullover,og black,spider neck tattoo,35,hypebeast-gyaru,a-drip,146,,trucker anime,,fliphone lanyard,safety pin piercing
147,Milady 147,sunset,tan,classic,green,jesus tank,bowl green,,21,gyaru,normal,147,,,,,double safety pins
148,Milady 148,sonora,clay,dilated,green,red puffer,short blonde,castle neck tattoo,22,hypebeast,normal,148,,,,,chain earrings
149,Milady 149,bushland,tan,closed,brown,blue sweatervest,braid green,,39,prep,a-drip,149,,earflap cap,,silver coin necklace,
150,Milady 150,mountain,clay,sleepy,lilac,green blazer,tuft purple,,28,prep,c-drip,150,,,larry glasses,,
151,Milady 151,mountain,pink,dilated,blue,matagonia pullover,short orange,,42,hypebeast-gyaru,s-drip,151,,trucker oasis,mottega sunglasses blue,coral cross necklace,
152,Milady 152,sunset,clay,classic,blue,western jacket,og blue,,22,hypebeast,normal,152,,,,,dual rings silver
153,Milady 153,sunrise,clay,sparkle,blue,im cute im punk shirt,og frosted purple,spider neck tattoo,26,harajuku-gyaru,c-drip,153,teardrops tattoo,bear ears,,,
154,Milady 154,clouds,pale,classic,lilac,kogal cardigan,tuft green,,28,lolita-prep,c-drip,154,,goth headband,round glasses,,strawberry earring
155,Milady 155,bushland,pink,sparkle,leaf,green blazer,bowl green,,29,prep,c-drip,155,,ivy cap,,,cross earring
156,Milady 156,casino,tan,sparkle,brown,cactus shirt,bowl harajuku dye,,44,gyaru,s-drip,156,,,harajuku glasses,,
157,Milady 157,bushland,clay,classic,blue,peter pan collar shirt,tuft green,,20,lolita,normal,157,star heart tattoo,,,,chrome cross
158,Milady 158,casino,clay,sleepy,green,leopard vest,short pink,,33,harajuku-gyaru,b-drip,158,,denim fish cap,,,
159,Milady 159,harajuku,pale,teary,green,jesus tank,braid green,,28,lolita-gyaru,c-drip,159,,pink bow,,,
160,Milady 160,sunset,pale,classic,brown,leopard polo,og blue,,32,prep-gyaru,b-drip,160,,plaid bonnet,mottega sunglasses blue,,
161,Milady 161,sunrise,pale,classic,blue,kogal cardigan,tuft green,lean neck tattoo,18,prep,normal,161,,,,,
162,Milady 162,sunset,pale,smug,blue,bear sweater,short green,,32,lolita-prep,b-drip,162,teardrops tattoo,maid hat,cobain glasses,,
163,Milady 163,yashima,pink,dilated,blue,mwo shirt,tuft green,,26,gyaru,c-drip,163,teardrops tattoo,,,,chain earrings
164,Milady 164,sonora,pink,crying,gold,black blazer,bowl slate,,18,prep,normal,164,,,,,
165,Milady 165,sunrise,pale,crying,blue,maf creeper,tuft green,,20,hypebeast,normal,165,teardrops tattoo,,,,
166,Milady 166,sunset,pink,smug,brown,ulzzang coat,bowl purple,,31,lolita-prep,b-drip,166,,pink bonnet,,,
167,Milady 167,clouds,pink,classic,grey,zip polo,bowl black,,48,harajuku,ss-drip,167,,fez,,fliphone lanyard,
168,Milady 168,sunset,pale,classic,aqua,cardigan tee,bowl purple,,27,harajuku,c-drip,168,,,,silver coin necklace,dual rings gold
169,Milady 169,tennis,pink,sparkle,blue,special people shirt,short blue,,20,gyaru,normal,169,,,,,
170,Milady 170,harajuku,clay,closed,green,red puffer,short green,,20,hypebeast,normal,170,,,,,
171,Milady 171,mountain,pink,sleepy,green,pink coat,tuft blue,,32,lolita,b-drip,171,,,cobain glasses,,
172,Milady 172,train,pink,dilated,green,red puffer,braid black,,32,hypebeast,b-drip,172,,treeprint bucket,,,
173,Milady 173,clouds,pale,teary,brown,meedles tracksuit,short orange,,30,hypebeast,b-drip,173,,,,,strawberry earring
174,Milady 174,sonora,clay,classic,blue,bear sweater,short pink,,34,lolita-prep,b-drip,174,,cat ears with bell,mottega sunglasses blue,,
175,Milady 175,bushland,pink,classic,brown,tie dye shirt,og green,,21,harajuku-gyaru,normal,175,,shy saints cap,,,
176,Milady 176,tennis,clay,classic,blue,sweater and tie,og frosted purple,spider neck tattoo,33,lolita-prep,b-drip,176,,cat ears with bell,,,
177,Milady 177,mountain,tan,crying,green,malenciaga neon,og blue,,60,prep-hypebeast,ss-drip,177,,spotted fur hat,mottega sunglasses blue,,double safety pins
178,Milady 178,sunset,clay,classic,green,fleece paisley jacket,short blonde,,42,lolita-hypebeast,s-drip,178,milady pilled tattoo,blue pink bow,round glasses,,safety pin piercing
179,Milady 179,sonora,pale,sparkle,blue,ulzzang coat,short green,,26,prep,c-drip,179,,,mottega sunglasses yellow,,
180,Milady 180,roadside,tan,classic,green,silk shirt,tuft purple,,43,hypebeast,s-drip,180,milady pilled tattoo,,,,
181,Milady 181,bushland,pink,classic,brown,red puffer,tuft purple,,27,hypebeast-gyaru,c-drip,181,,shy saints cap,,,chain earrings
182,Milady 182,clouds,clay,dilated,brown,sheep pullover,og orange,,23,prep,normal,182,,,mottega sunglasses yellow,,
183,Milady 183,clouds,pink,teary,green,green blazer,braid brown,,20,prep,normal,183,,,,,
184,Milady 184,bushland,pink,teary,brown,green blazer,short blue,castle neck tattoo,33,prep,b-drip,184,,tennis visor,,,
185,Milady 185,mountain,pale,classic,brown,malenciaga neon,short pink,,39,hypebeast,a-drip,185,nose ring gold,,,,
186,Milady 186,casino,pink,teary,green,maf rothko,og frosted blonde,,39,prep-hypebeast,a-drip,186,star heart tattoo,tennis visor,,,
187,Milady 187,sunset,pale,classic,leaf,bear sweater,short pink,castle neck tattoo,24,prep,normal,187,,,,,
188,Milady 188,bjork,clay,closed,green,ribbon lolita,bowl harajuku dye,,34,lolita-prep,b-drip,188,star heart tattoo,varsity cap,,,
189,Milady 189,sunset,black,sparkle,blue,leopard polo,braid brown,,34,gyaru,b-drip,189,,,,cherry necklace,
190,Milady 190,sonora,clay,teary,green,special people shirt,bowl purple,,23,gyaru,normal,190,,,,,dual rings gold
191,Milady 191,mountain,pale,classic,brown,kogal cardigan,bowl slate,,12,prep,normal,191,,,,,
192,Milady 192,sunrise,black,dilated,brown,leopard polo,braid blue,,45,prep-gyaru,ss-drip,192,,earflap cap,,milady beads,
193,Milady 193,casino,pink,crying,green,ulzzang coat,bowl black,,25,prep-gyaru,normal,193,,cross cap white,,,
194,Milady 194,bushland,pale,closed,brown,maid,braid black,,26,lolita-gyaru,c-drip,194,nose ring gold,shy saints cap,,,
195,Milady 195,bushland,tan,sparkle,green,silk shirt,braid brown,,36,hypebeast,a-drip,195,,,,,chain earrings
196,Milady 196,sunset,clay,teary,green,bosozuku jacket,braid brown,,53,harajuku,ss-drip,196,milady pilled tattoo,fez,prescription glasses,silver coin necklace,
197,Milady 197,sunrise,clay,teary,aqua,peter pan collar shirt,short blonde,,31,lolita-harajuku,b-drip,197,,fez,,,flower earring
198,Milady 198,casino,pale,dilated,brown,pink coat,bowl brown,,17,lolita,normal,198,,,,,
199,Milady 199,sunrise,pink,sparkle,green,super lover shirt,og blonde,,18,lolita-gyaru,normal,199,,maid hat,,,
200,Milady 200,xp,black,dilated,blue,red puffer,tuft purple,,38,lolita-hypebeast,a-drip,200,nose ring silver,pink bonnet,,,double safety pins
201,Milady 201,mountain,pink,classic,green,remilia tank,og blue,,30,lolita-gyaru,b-drip,201,star heart tattoo,cat ears with bell,,,
202,Milady 202,sonora,clay,classic,brown,cardigan tee,braid black,,26,harajuku-gyaru,c-drip,202,,trucker oasis,,,chain earrings
203,Milady 203,sunset,clay,teary,blue,ribbon lolita,og frosted blonde,,30,lolita-gyaru,b-drip,203,nose ring gold,cross cap pink,,,
204,Milady 204,clouds,clay,sparkle,blue,pink knit polo,braid purple,,29,prep,c-drip,204,,,,,loop chain earring
205,Milady 205,mountain,clay,sparkle,blue,meedles tracksuit,og orange,,22,hypebeast-gyaru,normal,205,,flower clip,,,
206,Milady 206,bushland,clay,dilated,aqua,hikki condition shirt,short pink,,37,harajuku-gyaru,a-drip,206,,bear ears,round glasses,,bar piercings
207,Milady 207,harajuku,clay,classic,blue,sheep pullover,tuft green,,19,prep,normal,207,,,,,
208,Milady 208,roadside,clay,dilated,aqua,cardigan tee,bowl black,,34,lolita-harajuku,b-drip,208,,sailor hat,larry glasses,girl necklace,
209,Milady 209,sunset,pale,dilated,green,black blazer,short blonde,,25,prep,normal,209,teardrops tattoo,plaid bonnet,,,
