TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Core,Drip Grade,Face Decoration,Hat,Glasses,Necklace,Earring
33,Milady 33,streets,pale,classic,blue,black blazer,og frosted purple,,lolita-prep,c-drip,,pink bonnet,mottega sunglasses blue,,
34,Milady 34,harajuku,pink,classic,blue,green blazer,og blonde,castle neck tattoo,prep,a-drip,,tennis visor,,,loop chain earring
35,Milady 35,mountain,black,teary,green,active dissident shirt,og green,,lolita-gyaru,b-drip,,maid hat,,,
36,Milady 36,sunset,pale,dilated,green,matagonia pullover,tuft blue,,hypebeast-gyaru,ss-drip,,trucker im so,larry glasses,fliphone lanyard,cherry earring
37,Milady 37,roadside,black,teary,green,kogal cardigan,short blue,,prep,c-drip,,,,,
38,Milady 38,mountain,clay,dilated,green,goth harajuku,tuft blue,,harajuku-gyaru,b-drip,,flower clip,,,strawberry earring
39,Milady 39,sunrise,clay,sparkle,gold,remilia tank,bowl black,,gyaru,a-drip,,trucker pink camo,,,burger earring
40,Milady 40,sunrise,clay,smug,aqua,sailor lolita,bowl black,,lolita-gyaru,c-drip,nose ring gold,trucker anime,,,loop chain earring
41,Milady 41,casino,pale,classic,brown,skull sweater,bowl black,,prep-hypebeast,normal,,bean hat,,,
42,Milady 42,sunset,pale,teary,green,heihei shirt,short pink,,prep-harajuku,a-drip,,tennis visor,,,
43,Milady 43,mountain,clay,sleepy,brown,maid,og black,,lolita-gyaru,c-drip,,trucker anime,,,heart pearls earring
44,Milady 44,sunset,clay,dilated,aqua,im cute im punk shirt,braid purple,,gyaru,c-drip,star heart tattoo,,,,cherry earring
45,Milady 45,xp,clay,sleepy,brown,bowling shirt oriental,og black,,hypebeast,c-drip,,,,cherry necklace,
46,Milady 46,clouds,clay,sparkle,green,matagonia pullover,bowl brown,,hypebeast,normal,,,,,
47,Milady 47,xp,pink,heart eyes,brown,peter pan collar shirt,bowl green,,lolita,b-drip,,,,,heart pearls earring
48,Milady 48,bushland,tan,crying,green,active dissident shirt,og blonde,,gyaru,a-drip,,rhinestone skull cap,,,
49,Milady 49,sunset,clay,crying,blue,cardigan tee,tuft blue,,lolita-harajuku,ss-drip,temple cross tattoo,bear hat,harajuku glasses,evil eye necklace,bar piercings
50,Milady 50,clouds,pink,closed,brown,sweater and tie,bowl blue,,prep,ss-drip,,plaid bonnet,moakleys,,
51,Milady 51,streets,tan,sparkle,lilac,sweater and tie,og black,,prep-hypebeast,b-drip,,treeprint bucket,,,
52,Milady 52,tennis,pink,sleepy,brown,maf rothko,short orange,,prep-hypebeast,ss-drip,,bean hat,mottega sunglasses blue,,burger earring
53,Milady 53,casino,clay,sleepy,green,blue ribbon tank,tuft blue,,harajuku-gyaru,normal,,bear ears,,girl necklace,dual rings silver
54,Milady 54,sunset,pink,dilated,blue,malenciaga neon,tuft purple,anime chest tattoo,hypebeast-gyaru,ss-drip,nose ring gold,denim fish cap,,,bar piercings
55,Milady 55,train,alien,sleepy,brown,sheep pullover,tuft dark,,lolita-prep,a-drip,,fuzz earmuffs,,,
56,Milady 56,bushland,pale,classic,lilac,mwo shirt,braid green,castle neck tattoo,prep-gyaru,b-drip,,ivy cap,,,dual rings gold
57,Milady 57,tennis,clay,dilated,blue,blue pink shirt,tuft brown,,lolita,normal,,,,,
58,Milady 58,sunrise,pink,dilated,blue,bowling shirt,tuft green,lean neck tattoo,hypebeast-gyaru,s-drip,nose ring silver,backwards trucker pink,,fliphone lanyard,
59,Milady 59,bushland,pink,crying,green,bear sweater,bowl purple,,prep-hypebeast,a-drip,,buckethat,larry glasses,,
60,Milady 60,sunset,pale,teary,green,green blazer,bowl black,,prep,normal,,,,,
61,Milady 61,casino,pale,teary,green,fuzzy coat,bowl green,,prep-gyaru,c-drip,,rhinestone skull cap,,,
62,Milady 62,mountain,clay,dilated,blue,mape hoodie,bowl black,,hypebeast,normal,,,,,
63,Milady 63,sunset,pale,dilated,green,im cute im punk shirt,tuft blue,,prep-gyaru,b-drip,,spotted fur hat,,,cross earring
64,Milady 64,sunrise,clay,dilated,blue,active dissident shirt,short orange,,lolita-gyaru,c-drip,,bear hat,,,
65,Milady 65,clouds,pale,teary,brown,blue sweatervest,og black,,prep-gyaru,normal,,trucker anime,prescription glasses,mestwood pearl necklace,
66,Milady 66,sonora,pale,dilated,brown,football shirt,,anime chest tattoo,hypebeast-harajuku,ss-drip,snakebites,strawberry hat,,,cherry earring
67,Milady 67,nagano,pale,dilated,blue,sailor lolita,og black,,lolita-prep,c-drip,nose ring silver,plaid bonnet,round glasses,,
68,Milady 68,mountain,clay,classic,blue,ribbon lolita,braid brown,,lolita,normal,,,mottega sunglasses yellow,,chain earrings
69,Milady 69,clouds,pink,classic,blue,pink knit polo,og frosted purple,,prep-gyaru,ss-drip,,rhinestone skull cap,,,celine dog
70,Milady 70,bushland,tan,closed,brown,ribbon lolita,braid black,,lolita,normal,,,,,
71,Milady 71,train,pink,teary,green,jesus tank,braid green,anime chest tattoo,gyaru,b-drip,,,,,double safety pins
72,Milady 72,mountain,pink,teary,blue,maf creeper,bowl slate,,hypebeast-gyaru,b-drip,crescent tattoo,trucker pink camo,,,
73,Milady 73,tennis,pale,sleepy,brown,maf rothko,short blue,,lolita-hypebeast,a-drip,nose ring gold,maid hat,,,bar piercings
74,Milady 74,mountain,pink,sleepy,brown,ribbon lolita,tuft purple,,lolita,b-drip,,blue pink bow,,,
75,Milady 75,sunrise,pale,sparkle,brown,maf rothko,short blonde,,lolita-hypebeast,b-drip,star heart tattoo,bear hat,,,
76,Milady 76,sonora,pale,sleepy,green,silk shirt,tuft brown,,hypebeast-harajuku,s-drip,nose ring gold,cake hat,,,safety pin piercing
77,Milady 77,casino,pink,dilated,brown,fuzzy coat,short blue,,prep-hypebeast,a-drip,,buckethat,,,diamond stud
78,Milady 78,bushland,tan,crying,brown,leopard vest,bowl purple,,hypebeast-harajuku,ss-drip,snakebites,trucker gothic milady,sunglasses,,strawberry earring
79,Milady 79,mountain,clay,dilated,aqua,goth harajuku,bowl blue,spider neck tattoo,prep-harajuku,a-drip,temple cross tattoo,bean hat,round glasses,,
80,Milady 80,casino,pink,teary,lilac,peter pan collar shirt,tuft green,,lolita-prep,a-drip,,orange beret,harajuku glasses,,
81,Milady 81,clouds,tan,dilated,blue,leopard vest,tuft brown,,harajuku,normal,,,,,
82,Milady 82,roadside,clay,sparkle,aqua,ribbon lolita,og frosted purple,castle neck tattoo,lolita-gyaru,b-drip,face piercings,trucker white rabbit,round glasses,,
83,Milady 83,bushland,pink,teary,lilac,pink knit polo,short blonde,,prep-hypebeast,b-drip,,miteryx beanie,,,
84,Milady 84,mountain,pale,sparkle,blue,peter pan collar shirt,short blonde,,lolita,normal,face piercings,,,,
85,Milady 85,mountain,pink,dilated,blue,jesus tank,og orange,,harajuku-gyaru,c-drip,temple cross tattoo,heihei hat,,,
86,Milady 86,sunrise,black,crying,green,im cute im punk shirt,bowl slate,,harajuku-gyaru,c-drip,,bandana,,,
87,Milady 87,roadside,pink,sleepy,aqua,sheep pullover,short pink,,prep,ss-drip,star heart tattoo,bean hat,,,double safety pins
88,Milady 88,sunset,pink,sparkle,grey,knit sweater,bowl black,,prep,normal,,,,,loop chain earring
89,Milady 89,bushland,clay,classic,blue,silk shirt,bowl brown,,hypebeast,c-drip,star heart tattoo,,,,
90,Milady 90,nagano,pink,crying,aqua,ulzzang coat,short pink,,lolita-prep,a-drip,,blue pink bow,,,
91,Milady 91,sonora,clay,sparkle,green,football shirt,short blue,,prep-hypebeast,a-drip,,ivy cap,,,cherry earring
92,Milady 92,nagano,clay,heart eyes,brown,heihei shirt,braid green,castle neck tattoo,harajuku-gyaru,ss-drip,,trucker im so,,silver coin necklace,cherry earring
93,Milady 93,clouds,pink,sleepy,aqua,mwo shirt,tuft purple,,gyaru,a-drip,,workin cap,,,
94,Milady 94,sunset,tan,sparkle,blue,skull sweater,short green,,hypebeast,c-drip,,,,,cross earring
95,Milady 95,harajuku,pink,classic,brown,bear sweater,tuft green,,prep-harajuku,b-drip,,fez,,,strawberry earring
96,Milady 96,bushland,pale,sparkle,green,special people shirt,braid purple,,gyaru,normal,,,,,
97,Milady 97,bushland,clay,classic,leaf,blue sweatervest,bowl slate,,prep-gyaru,b-drip,,white cowboy hat,larry glasses,milady beads,
98,Milady 98,mountain,clay,classic,brown,sheep pullover,bowl brown,,prep,b-drip,,orange beret,,,
99,Milady 99,sunset,clay,dilated,green,bowling shirt,braid purple,,hypebeast,a-drip,milady pilled tattoo,,,coral cross necklace,
100,Milady 100,clouds,clay,sparkle,green,chore coat,braid brown,,hypebeast-gyaru,normal,,trucker construction,,,
101,Milady 101,nagano,clay,dilated,brown,peter pan collar shirt,braid purple,,lolita-gyaru,b-drip,nose ring silver,trucker hat 911,,,
102,Milady 102,sonora,pale,crying,leaf,meedles tracksuit,braid black,,prep-hypebeast,normal,,plaid bonnet,,,
103,Milady 103,roadside,pale,sparkle,green,red puffer,bowl blue,,hypebeast-gyaru,normal,,trucker anime,,,strawberry earring
104,Milady 104,sunrise,pale,dilated,blue,blue sweatervest,tuft dark,,prep-gyaru,normal,,shy saints cap,,cherry necklace,loop chain earring
105,Milady 105,roadside,pale,dilated,aqua,red puffer,braid black,,lolita-hypebeast,normal,,blue pink bow,,,cross earring
106,Milady 106,clouds,pink,sleepy,brown,cactus shirt,bowl purple,,gyaru,ss-drip,,cross cap pink,prescription glasses,,heart pearls earring
107,Milady 107,clouds,clay,crying,brown,active dissident shirt,og frosted purple,lean neck tattoo,gyaru,ss-drip,,workin cap,,,dual rings silver
108,Milady 108,sunrise,clay,teary,blue,mwo shirt,bowl harajuku dye,,lolita-gyaru,a-drip,face piercings,sailor hat,,,
109,Milady 109,sonora,clay,sparkle,brown,gold spray puffer,og black,,hypebeast-gyaru,normal,,cross cap white,,,
110,Milady 110,sunrise,pink,classic,green,goth poncho,bowl brown,,lolita,b-drip,,bear hat,,,
111,Milady 111,yashima,pink,sleepy,aqua,maf creeper,og orange,,hypebeast,b-drip,nose ring gold,,mottega sunglasses blue,,
112,Milady 112,sunset,pink,dilated,gold,skull sweater,short orange,,hypebeast-gyaru,a-drip,,cross cap pink,,,double safety pins
113,Milady 113,sunset,pink,spiral,green,ribbon lolita,og black,,lolita-harajuku,s-drip,black hearts tattoo,cake hat,mottega sunglasses blue,,
114,Milady 114,mountain,tan,heart eyes,aqua,cactus shirt,bowl black,,prep-gyaru,a-drip,teardrops tattoo,orange beret,,,
115,Milady 115,sunset,pink,teary,brown,im cute im punk shirt,og frosted blonde,,gyaru,a-drip,,trucker anime,mottega sunglasses blue,,chain earrings
116,Milady 116,sunset,pink,crying,blue,ulzzang coat,tuft blue,castle neck tattoo,prep,c-drip,star heart tattoo,,,,
117,Milady 117,sunrise,clay,sleepy,aqua,cardigan tee,short blue,,prep-harajuku,b-drip,,varsity cap,,lean neck tattoo,cherry earring
118,Milady 118,roadside,clay,sparkle,green,bowling shirt,short green,,hypebeast-harajuku,a-drip,star heart tattoo,fez,,pearl necklace,
119,Milady 119,sunrise,pale,sleepy,blue,bosozuku jacket,,,harajuku,ss-drip,star heart tattoo,strawberry hat,,coral cross necklace,
120,Milady 120,sunrise,clay,dilated,green,bear sweater,braid black,lean neck tattoo,prep,normal,,,,,chain earrings
121,Milady 121,yashima,black,sparkle,blue,bowling shirt oriental,bowl harajuku dye,anime chest tattoo,hypebeast,ss-drip,,,,,
122,Milady 122,nagano,clay,classic,green,leopard polo,bowl black,anime chest tattoo,gyaru,b-drip,,,,pearl necklace,
123,Milady 123,mountain,pink,sleepy,blue,hikki condition shirt,bowl slate,,harajuku-gyaru,c-drip,,heihei hat,,,
124,Milady 124,xp,clay,teary,green,maf rothko,braid brown,,hypebeast,a-drip,,,mottega sunglasses yellow,,flower earring
125,Milady 125,sunrise,pink,classic,brown,western jacket,og orange,,hypebeast-harajuku,normal,,cat earmuffs,,,
126,Milady 126,bjork,black,classic,blue,super lover shirt,short blue,,gyaru,a-drip,,trucker im so,,,
127,Milady 127,mountain,pale,dilated,blue,peter pan collar shirt,tuft blue,,lolita-gyaru,normal,,shy saints cap,,,safety pin piercing
128,Milady 128,bjork,tan,sleepy,brown,remilia tank,braid brown,,gyaru,s-drip,,,sunglasses,coral cross necklace,dual rings gold
129,Milady 129,streets,clay,spiral,blue,fleece paisley jacket,bowl black,,hypebeast-harajuku,ss-drip,,cake hat,,mestwood pearl necklace,
130,Milady 130,roadside,tan,sparkle,green,goth harajuku,og frosted blonde,,prep-harajuku,s-drip,,bean hat,,,strawberry earring
131,Milady 131,clouds,pale,spiral,brown,gold spray puffer,tuft dark,,hypebeast,normal,,,,,
132,Milady 132,sunrise,pink,crying,green,bowling shirt,braid black,,hypebeast-gyaru,s-drip,,workin cap,mottega sunglasses yellow,,dual rings gold
133,Milady 133,sonora,pale,classic,gold,pink knit polo,short orange,,prep,b-drip,snakebites,,sunglasses,,
134,Milady 134,sunrise,clay,teary,gold,knit sweater,bowl blue,,prep-harajuku,c-drip,snakebites,bandana,,pearl necklace,
135,Milady 135,clouds,tan,teary,gold,fur coat,tuft dark,,lolita,b-drip,gucci cone tattoo,,,,
136,Milady 136,roadside,pink,sparkle,brown,meedles tracksuit,bowl purple,,lolita-hypebeast,b-drip,,bear hat,,,
137,Milady 137,sonora,pink,dilated,brown,blue sweatervest,og green,,prep-gyaru,b-drip,nose ring silver,cross cap pink,,,
138,Milady 138,mountain,pink,closed,blue,bowling shirt,braid green,,hypebeast,s-drip,temple cross tattoo,,,evil eye necklace,safety pin piercing
139,Milady 139,yashima,alien,sleepy,green,bowling shirt,tuft green,,hypebeast,ss-drip,teardrops tattoo,miteryx beanie,,pearl necklace,
140,Milady 140,bushland,tan,teary,green,western jacket,og blue,,hypebeast-gyaru,c-drip,,trucker anime,,,
141,Milady 141,sunrise,pale,sparkle,brown,blue ribbon tank,og black,,gyaru,normal,,,,,chrome cross
142,Milady 142,yashima,clay,sparkle,blue,hikki condition shirt,bowl brown,,gyaru,c-drip,,trucker pink camo,,,
143,Milady 143,casino,clay,sparkle,blue,ribbon lolita,braid purple,,lolita,c-drip,milady pilled tattoo,,,,
144,Milady 144,nagano,black,dilated,blue,cardigan tee,tuft purple,,prep-harajuku,ss-drip,,ivy cap,,evil eye necklace,
145,Milady 145,sunset,pink,dilated,brown,bear sweater,tuft dark,,prep-gyaru,c-drip,,flower clip,,,strawberry earring
146,Milady 146,mountain,clay,sparkle,green,matagonia pullover,og black,spider neck tattoo,hypebeast-gyaru,a-drip,,trucker anime,,fliphone lanyard,safety pin piercing
147,Milady 147,sunset,tan,classic,green,jesus tank,bowl green,,gyaru,normal,,,,,double safety pins
148,Milady 148,sonora,clay,dilated,green,red puffer,short blonde,castle neck tattoo,hypebeast,normal,,,,,chain earrings
149,Milady 149,bushland,tan,closed,brown,blue sweatervest,braid green,,prep,a-drip,,earflap cap,,silver coin necklace,
150,Milady 150,mountain,clay,sleepy,lilac,green blazer,tuft purple,,prep,c-drip,,,larry glasses,,
151,Milady 151,mountain,pink,dilated,blue,matagonia pullover,short orange,,hypebeast-gyaru,s-drip,,trucker oasis,mottega sunglasses blue,coral cross necklace,
152,Milady 152,sunset,clay,classic,blue,western jacket,og blue,,hypebeast,normal,,,,,dual rings silver
153,Milady 153,sunrise,clay,sparkle,blue,im cute im punk shirt,og frosted purple,spider neck tattoo,harajuku-gyaru,c-drip,teardrops tattoo,bear ears,,,
154,Milady 154,clouds,pale,classic,lilac,kogal cardigan,tuft green,,lolita-prep,c-drip,,goth headband,round glasses,,strawberry earring
155,Milady 155,bushland,pink,sparkle,leaf,green blazer,bowl green,,prep,c-drip,,ivy cap,,,cross earring
156,Milady 156,casino,tan,sparkle,brown,cactus shirt,bowl harajuku dye,,gyaru,s-drip,,,harajuku glasses,,
157,Milady 157,bushland,clay,classic,blue,peter pan collar shirt,tuft green,,lolita,normal,star heart tattoo,,,,chrome cross
158,Milady 158,casino,clay,sleepy,green,leopard vest,short pink,,harajuku-gyaru,b-drip,,denim fish cap,,,
159,Milady 159,harajuku,pale,teary,green,jesus tank,braid green,,lolita-gyaru,c-drip,,pink bow,,,
160,Milady 160,sunset,pale,classic,brown,leopard polo,og blue,,prep-gyaru,b-drip,,plaid bonnet,mottega sunglasses blue,,
161,Milady 161,sunrise,pale,classic,blue,kogal cardigan,tuft green,lean neck tattoo,prep,normal,,,,,
162,Milady 162,sunset,pale,smug,blue,bear sweater,short green,,lolita-prep,b-drip,teardrops tattoo,maid hat,cobain glasses,,
163,Milady 163,yashima,pink,dilated,blue,mwo shirt,tuft green,,gyaru,c-drip,teardrops tattoo,,,,chain earrings
164,Milady 164,sonora,pink,crying,gold,black blazer,bowl slate,,prep,normal,,,,,
165,Milady 165,sunrise,pale,crying,blue,maf creeper,tuft green,,hypebeast,normal,teardrops tattoo,,,,
166,Milady 166,sunset,pink,smug,brown,ulzzang coat,bowl purple,,lolita-prep,b-drip,,pink bonnet,,,
167,Milady 167,clouds,pink,classic,grey,zip polo,bowl black,,harajuku,ss-drip,,fez,,fliphone lanyard,
168,Milady 168,sunset,pale,classic,aqua,cardigan tee,bowl purple,,harajuku,c-drip,,,,silver coin necklace,dual rings gold
169,Milady 169,tennis,pink,sparkle,blue,special people shirt,short blue,,gyaru,normal,,,,,
170,Milady 170,harajuku,clay,closed,green,red puffer,short green,,hypebeast,normal,,,,,
171,Milady 171,mountain,pink,sleepy,green,pink coat,tuft blue,,lolita,b-drip,,,cobain glasses,,
172,Milady 172,train,pink,dilated,green,red puffer,braid black,,hypebeast,b-drip,,treeprint bucket,,,
173,Milady 173,clouds,pale,teary,brown,meedles tracksuit,short orange,,hypebeast,b-drip,,,,,strawberry earring
174,Milady 174,sonora,clay,classic,blue,bear sweater,short pink,,lolita-prep,b-drip,,cat ears with bell,mottega sunglasses blue,,
175,Milady 175,bushland,pink,classic,brown,tie dye shirt,og green,,harajuku-gyaru,normal,,shy saints cap,,,
176,Milady 176,tennis,clay,classic,blue,sweater and tie,og frosted purple,spider neck tattoo,lolita-prep,b-drip,,cat ears with bell,,,
177,Milady 177,mountain,tan,crying,green,malenciaga neon,og blue,,prep-hypebeast,ss-drip,,spotted fur hat,mottega sunglasses blue,,double safety pins
178,Milady 178,sunset,clay,classic,green,fleece paisley jacket,short blonde,,lolita-hypebeast,s-drip,milady pilled tattoo,blue pink bow,round glasses,,safety pin piercing
179,Milady 179,sonora,pale,sparkle,blue,ulzzang coat,short green,,prep,c-drip,,,mottega sunglasses yellow,,
180,Milady 180,roadside,tan,classic,green,silk shirt,tuft purple,,hypebeast,s-drip,milady pilled tattoo,,,,
181,Milady 181,bushland,pink,classic,brown,red puffer,tuft purple,,hypebeast-gyaru,c-drip,,shy saints cap,,,chain earrings
182,Milady 182,clouds,clay,dilated,brown,sheep pullover,og orange,,prep,normal,,,mottega sunglasses yellow,,
183,Milady 183,clouds,pink,teary,green,green blazer,braid brown,,prep,normal,,,,,
184,Milady 184,bushland,pink,teary,brown,green blazer,short blue,castle neck tattoo,prep,b-drip,,tennis visor,,,
185,Milady 185,mountain,pale,classic,brown,malenciaga neon,short pink,,hypebeast,a-drip,nose ring gold,,,,
186,Milady 186,casino,pink,teary,green,maf rothko,og frosted blonde,,prep-hypebeast,a-drip,star heart tattoo,tennis visor,,,
187,Milady 187,sunset,pale,classic,leaf,bear sweater,short pink,castle neck tattoo,prep,normal,,,,,
188,Milady 188,bjork,clay,closed,green,ribbon lolita,bowl harajuku dye,,lolita-prep,b-drip,star heart tattoo,varsity cap,,,
189,Milady 189,sunset,black,sparkle,blue,leopard polo,braid brown,,gyaru,b-drip,,,,cherry necklace,
190,Milady 190,sonora,clay,teary,green,special people shirt,bowl purple,,gyaru,normal,,,,,dual rings gold
191,Milady 191,mountain,pale,classic,brown,kogal cardigan,bowl slate,,prep,normal,,,,,
192,Milady 192,sunrise,black,dilated,brown,leopard polo,braid blue,,prep-gyaru,ss-drip,,earflap cap,,milady beads,
193,Milady 193,casino,pink,crying,green,ulzzang coat,bowl black,,prep-gyaru,normal,,cross cap white,,,
194,Milady 194,bushland,pale,closed,brown,maid,braid black,,lolita-gyaru,c-drip,nose ring gold,shy saints cap,,,
195,Milady 195,bushland,tan,sparkle,green,silk shirt,braid brown,,hypebeast,a-drip,,,,,chain earrings
196,Milady 196,sunset,clay,teary,green,bosozuku jacket,braid brown,,harajuku,ss-drip,milady pilled tattoo,fez,prescription glasses,silver coin necklace,
197,Milady 197,sunrise,clay,teary,aqua,peter pan collar shirt,short blonde,,lolita-harajuku,b-drip,,fez,,,flower earring
198,Milady 198,casino,pale,dilated,brown,pink coat,bowl brown,,lolita,normal,,,,,
199,Milady 199,sunrise,pink,sparkle,green,super lover shirt,og blonde,,lolita-gyaru,normal,,maid hat,,,
200,Milady 200,xp,black,dilated,blue,red puffer,tuft purple,,lolita-hypebeast,a-drip,nose ring silver,pink bonnet,,,double safety pins
201,Milady 201,mountain,pink,classic,green,remilia tank,og blue,,lolita-gyaru,b-drip,star heart tattoo,cat ears with bell,,,
202,Milady 202,sonora,clay,classic,brown,cardigan tee,braid black,,harajuku-gyaru,c-drip,,trucker oasis,,,chain earrings
203,Milady 203,sunset,clay,teary,blue,ribbon lolita,og frosted blonde,,lolita-gyaru,b-drip,nose ring gold,cross cap pink,,,
204,Milady 204,clouds,clay,sparkle,blue,pink knit polo,braid purple,,prep,c-drip,,,,,loop chain earring
205,Milady 205,mountain,clay,sparkle,blue,meedles tracksuit,og orange,,hypebeast-gyaru,normal,,flower clip,,,
206,Milady 206,bushland,clay,dilated,aqua,hikki condition shirt,short pink,,harajuku-gyaru,a-drip,,bear ears,round glasses,,bar piercings
207,Milady 207,harajuku,clay,classic,blue,sheep pullover,tuft green,,prep,normal,,,,,
208,Milady 208,roadside,clay,dilated,aqua,cardigan tee,bowl black,,lolita-harajuku,b-drip,,sailor hat,larry glasses,girl necklace,
209,Milady 209,sunset,pale,dilated,green,black blazer,short blonde,,prep,normal,teardrops tattoo,plaid bonnet,,,
210,Milady 210,tennis,pink,teary,green,bowling shirt oriental,braid black,,hypebeast-gyaru,s-drip,milady pilled tattoo,trucker pink camo,,,
211,Milady 211,sunset,clay,spiral,blue,black blazer,bowl blue,,prep,normal,,,round glasses,,double safety pins
212,Milady 212,mountain,pale,heart eyes,leaf,maf rothko,braid brown,,hypebeast-gyaru,a-drip,,cross cap pink,,,
213,Milady 213,bushland,pale,smug,green,pink knit polo,bowl blue,,prep-hypebeast,c-drip,,buckethat,,,
214,Milady 214,casino,clay,dilated,blue,jesus tank,og green,,gyaru,normal,,,round glasses,,loop chain earring
215,Milady 215,sunset,clay,teary,blue,special people shirt,short green,,gyaru,normal,,trucker white rabbit,,,
216,Milady 216,sonora,clay,dilated,green,leopard vest,og black,,hypebeast-harajuku,b-drip,temple cross tattoo,dubai hat,,,
217,Milady 217,sunset,clay,dilated,green,matagonia pullover,bowl black,,hypebeast,a-drip,,treeprint bucket,,eth necklace,
218,Milady 218,sunrise,pink,dilated,lilac,maf creeper,og frosted blonde,,hypebeast-gyaru,a-drip,nose ring silver,trucker hat 911,,,bar piercings
219,Milady 219,harajuku,pink,teary,green,pink coat,braid black,,lolita-prep,a-drip,,beret,,,heart pearls earring
220,Milady 220,bushland,pink,heart eyes,gold,mape hoodie,og black,,hypebeast,normal,,,,,
221,Milady 221,sunset,clay,closed,blue,zip polo,braid purple,,harajuku,a-drip,,,,coral cross necklace,
222,Milady 222,mountain,pink,sleepy,aqua,leopard vest,og blonde,,harajuku,normal,,,,,
223,Milady 223,roadside,clay,teary,blue,goth poncho,bowl black,,lolita-harajuku,s-drip,temple cross tattoo,cake hat,,,flower earring
224,Milady 224,sunset,pink,teary,blue,skull sweater,short orange,,hypebeast,c-drip,,,,,
